,index,name,cost,weight
49,49,"Lantern - Bullseye
* A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",10 gp,2 lb.
50,50,"Lantern - Hooded
* A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius.",5 gp,2 lb.
51,51,"Oil (flask)
* Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. if lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn.",1 sp,1 lb.
52,52,"Poison, basic (vial)
* You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying.",100 gp,-
53,53,Potion of Healing (common),50 gp,0.5 lb.
54,54,"Tinderbox
* This small container holds flint, fire steel, an tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch — or anything else with abundant, exposed fuel — takes an action. Lighting any other fire takes 1 minutes.",5 sp,1 lb.
55,55,"Torch
* A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage.",1 cp,1 lb.
56,56,Common Clothes,5 sp,3 lb.
57,57,Costume,5 gp,4 lb.
58,58,Fine Clothes,15 gp,6 lb.
59,59,Robes,1 gp,4 lb.
60,60,Traveler's Clothes,2 gp,4 lb.
61,61,Crystal,10 gp,1 lb.
62,62,Orb,20 gp,3 lb.
63,63,Rod,10 gp,2lb.
64,64,Staff,5 gp,4 lb.
65,65,Wand,10 gp,1 lb.
66,66,Sprig of Mistletoe,1 gp,-
67,67,Totem,1 gp,-
68,68,Wooden Staff,5 gp,4 lb.
69,69,Yew Wand,10 gp,1 lb.
70,70,Amulet,5 gp,1 lb.
71,71,Emblem,5 gp,-
72,72,Reliquary,5 gp,2 lb.
