,index,class,level,features
16,16,barbarian,9,"Brutal Critical
Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack.
This increases to two additional dice at 13th level and three additional dice at 17th level.
"
17,17,barbarian,10,Path Feature
18,18,barbarian,10,"Primal Knowledge (Optional)
When you reach 3rd level and again at 10th level, you gain proficiency in one skill of your choice from the list of skills available to barbarians at 1st level.
"
19,19,barbarian,11,"Relentless Rage
Starting at 11th level, your rage can keep you fighting despite grievous wounds. If you drop to 0 hit points while you're raging and don't die outright, you can make a DC 10 Constitution saving throw. If you succeed, you drop to 1 hit point instead.
Each time you use this feature after the first, the DC increases by 5. When you finish a short or long rest, the DC resets to 10.
"
20,20,barbarian,12,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
21,21,barbarian,13,"Brutal Critical
Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack.
This increases to two additional dice at 13th level and three additional dice at 17th level.
"
22,22,barbarian,14,Path Feature
23,23,barbarian,15,"Persistent Rage
Beginning at 15th level, your rage is so fierce that it ends early only if you fall unconscious or if you choose to end it.
"
24,24,barbarian,16,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
25,25,barbarian,17,"Brutal Critical
Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack.
This increases to two additional dice at 13th level and three additional dice at 17th level.
"
26,26,barbarian,18,"Indomitable Might
Beginning at 18th level, if your total for a Strength check is less than your Strength score, you can use that score in place of the total.
"
27,27,barbarian,19,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
28,28,barbarian,20,"Primal Champion
At 20th level, you embody the power of the wilds. Your Strength and Constitution scores increase by 4. Your maximum for those scores is now 24.
"
29,0,bard,0,"Hit Points
Hit Dice: 1d8 per bard level
Hit Points at 1st Level: 8 + your Constitution modifier
Hit Points at Higher Levels: 1d8 (or 5) + your Constitution modifier per bard level after 1st
"
30,1,bard,0,"Proficiencies
Armor: Light armor
Weapons: Simple weapons, hand crossbows, longswords, rapiers, shortswords
Tools: Three musical instruments of your choice
Saving Throws: Dexterity, Charisma
Skills: Choose any three
"
31,2,bard,0,"Equipment
You start with the following equipment, in addition to the equipment granted by your background:

(a) a rapier, (b) a longsword, or (c) any simple weapon
(a) a diplomat's pack or (b) an entertainer's pack
(a) a lute or (b) any other musical instrument
Leather armor and a dagger

"
32,3,bard,1,"Spellcasting
You have learned to untangle and reshape the fabric of reality in harmony with your wishes and music. Your spells are part of your vast repertoire, magic that you can tune to different situations.
Cantrips
You know two cantrips of your choice from the bard spell list. You learn additional bard cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Bard table.
Spell Slots
The Bard table shows how many spell slots you have to cast your bard spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest. For example, if you know the 1st-level spell Cure Wounds and have a 1st-level and a 2nd-level spell slot available, you can cast Cure Wounds using either slot.
Spells Known of 1st Level and Higher
You know four 1st-level spells of your choice from the bard spell list.
The Spells Known column of the Bard table shows when you learn more bard spells of your choice. Each of these spells must be of a level for which you have spell slots, as shown on the table. For instance, when you reach 3rd level in this class, you can learn one new spell of 1st or 2nd level.
Additionally, when you gain a level in this class, you can choose one of the bard spells you know and replace it with another spell from the bard spell list, which also must be of a level for which you have spell slots.
Spellcasting Ability
Charisma is your spellcasting ability for your bard spells. Your magic comes from the heart and soul you pour into the performance of your music or oration. You use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a bard spell you cast and when making an attack roll with one.
Spell save DC = 8 + your proficiency bonus + your Charisma modifier
Spell attack modifier = your proficiency bonus + your Charisma modifier
Ritual Casting
You can cast any bard spell you know as a ritual if that spell has the ritual tag.
Spellcasting Focus
You can use a musical instrument (found in chapter 5) as a spellcasting focus for your bard spells.
"
33,4,bard,1,"Bardic Inspiration
You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a d6.
Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Bardic Inspiration die, but must decide before the DM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time.
You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain any expended uses when you finish a long rest.
Your Bardic Inspiration die changes when you reach certain levels in this class. The die becomes a d8 at 5th level, a d10 at 10th level, and a d12 at 15th level.
"
34,5,bard,2,"Jack of All Trades
Starting at 2nd level, you can add half your proficiency bonus, rounded down, to any ability check you make that doesn't already include your proficiency bonus.
"
35,6,bard,2,"Song of Rest
Beginning at 2nd level, you can use soothing music or oration to help revitalize your wounded allies during a short rest. If you or any friendly creatures who can hear your performance regain hit points at the end of the short rest by spending one or more Hit Dice, each of those creatures regains an extra 1d6 hit points.
The extra Hit Points increase when you reach certain levels in this class: to 1d8 at 9th level, to 1d10 at 13th level, and to 1d12 at 17th level.
"
36,7,bard,2,"Magical Inspiration (Optional)
At 2nd level, if a creature has a Bardic Inspiration die from you and casts a spell that restores hit points or deals damage, the creature can roll that die and choose a target affected by the spell. Add the number rolled as a bonus to the hit points regained or the damage dealt. The Bardic Inspiration die is then lost.
"
37,8,bard,3,"Bard College
At 3rd level, you delve into the advanced techniques of a bard college of your choice. Your choice grants you features at 3rd level and again at 6th and 14th level.


College
Source


Creation
Tasha's Cauldron of Everything


Eloquence
Mythic Odysseys of Theros
Tasha's Cauldron of Everything


Glamour
Xanathar's Guide to Everything


Lore
Player's Handbook


Spirits
Van Richten's Guide to Ravenloft


Swords
Xanathar's Guide to Everything


Valor
Player's Handbook


Whispers
Xanathar's Guide to Everything


Unearthed Arcana


 Mage of Lorehold
Unearthed Arcana 79 - Mages of Strixhaven


 Mage of Silverquill
Unearthed Arcana 79 - Mages of Strixhaven


The following domains are unofficial content developed by Eberron writer Keith Baker and released on the Dungeon Master's Guild


Dirge Singer
Exploring Eberron


The following subclass is unofficial homebrew created by WOTC affiliated DM, Matthew Mercer


Maestro
DMSGuild


Archived Unearthed Arcana


Creation
Unearthed Arcana 68 - Subclasses, Part 2


Spirits
Unearthed Arcana 74 - Subclasses, Part 4


Satire
Unearthed Arcana 12 - Kits of Old


"
38,9,bard,3,"Expertise
At 3rd level, choose two of your skill proficiencies. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies.
At 10th level, you can choose another two skill proficiencies to gain this benefit.
"
39,10,bard,4,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
40,11,bard,4,"Bardic Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can do one of the following, representing a change in focus as you use your skills and magic:

Replace one of the skills you chose for the Expertise feature with one of your other skill proficiencies that isn't benefiting from Expertise.


Replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the bard spell list.

"
41,12,bard,5,Bardic Inspiration (d8)
42,13,bard,5,"Font of Inspiration
Beginning when you reach 5th level, you regain all of your expended uses of Bardic Inspiration when you finish a short or long rest.
"
43,14,bard,6,"Countercharm
At 6th level, you gain the ability to use musical notes or words of power to disrupt mind-influencing effects. As an action, you can start a performance that lasts until the end of your next turn. During that time, you and any friendly creatures within 30 feet of you have advantage on saving throws against being frightened or charmed. A creature must be able to hear you to gain this benefit. The performance ends early if you are incapacitated or silenced or if you voluntarily end it (no action required).
"
44,15,bard,6,Bard College Feature
45,16,bard,8,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
46,17,bard,8,Bardic Versatility (Optional)
47,18,bard,9,Song of Rest (d8)
48,19,bard,10,Bardic Inspiration (d10)
49,20,bard,10,Expertise
50,21,bard,10,"Magical Secrets
By 10th level, you have plundered magical knowledge from a wide spectrum of disciplines. Choose two spells from any classes, including this one. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip.
The chosen spells count as bard spells for you and are included in the number in the Spells Known column of the Bard table.
You learn two additional spells from any classes at 14th level and again at 18th level.
"
51,22,bard,12,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
52,23,bard,12,Bardic Versatility (Optional)
53,24,bard,13,Song of rest (d10)
54,25,bard,14,Magical Secrets
55,26,bard,14,Bard College Feature
56,27,bard,15,Bardic Inspiration (d12)
57,28,bard,16,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
58,29,bard,16,Bardic Versatility (Optional)
59,30,bard,17,Song of rest (d12)
60,31,bard,18,Magical Secrets
61,32,bard,19,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
62,33,bard,19,Bardic Versatility (Optional)
63,34,bard,20,"Superior Inspiration
At 20th level, when you roll initiative and have no uses of Bardic Inspiration left, you regain one use.
"
64,0,cleric,0,"Hit Points
Hit Dice: 1d8 per cleric level
Hit Points at 1st Level: 8 + your Constitution modifier
Hit Points at Higher Levels: 1d8 (or 5) + your Constitution modifier per cleric level after 1st
"
65,1,cleric,0,"Proficiencies
Armor: Light armor, medium armor, shields
Weapons: All simple weapons
Tools: None
Saving Throws: Wisdom, Charisma
Skills: Choose two from History, Insight, Medicine, Persuasion, and Religion
"
66,2,cleric,0,"Equipment
You start with the following equipment, in addition to the equipment granted by your background:

(a) a mace or (b) a warhammer (if proficient)
(a) scale mail, (b) leather armor, or (c) chain mail (if proficient)
(a) a light crossbow and 20 bolts or (b) any simple weapon
(a) a priest's pack or (b) an explorer's pack
A shield and a holy symbol

"
67,3,cleric,1,"Spellcasting
As a conduit for divine power, you can cast cleric spells.
Cantrips
At 1st level, you know three cantrips of your choice from the cleric spell list. You learn additional cleric cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Cleric table.
Spell Slots
The Cleric table shows how many spell slots you have to cast your cleric spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest.
You prepare the list of cleric spells that are available for you to cast, choosing from the cleric spell list. When you do so, choose a number of cleric spells equal to your Wisdom modifier + your cleric level (minimum of one spell). The spells must be of a level for which you have spell slots.
For example, if you are a 3rd-level cleric, you have four 1st-level and two 2nd-level spell slots. With a Wisdom of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination. If you prepare the 1st-level spell Cure Wounds, you can cast it using a 1st-level or 2nd-level slot. Casting the spell doesn't remove it from your list of prepared spells.
You can change your list of prepared spells when you finish a long rest. Preparing a new list of cleric spells requires time spent in prayer and meditation: at least 1 minute per spell level for each spell on your list.
Spellcasting Ability
Wisdom is your spellcasting ability for your cleric spells. The power of your spells comes from your devotion to your deity. You use your Wisdom whenever a cleric spell refers to your spellcasting ability. In addition, you use your Wisdom modifier when setting the saving throw DC for a cleric spell you cast and when making an attack roll with one.
Spell save DC = 8 + your proficiency bonus + your Wisdom modifier
Spell attack modifier = your proficiency bonus + your Wisdom modifier
Ritual Casting
You can cast a cleric spell as a ritual if that spell has the ritual tag and you have the spell prepared.
Spellcasting Focus
You can use a holy symbol as a spellcasting focus for your cleric spells.
"
68,4,cleric,1,"Divine Domain
At 1st level, you choose a domain shaped by your choice of Deity and the gifts they grant you. Your choice grants you domain spells and other features when you choose it at 1st level. It also grants you additional ways to use "
69,5,cleric,2,"Channel Divinity when you gain that feature at 2nd level, and additional benefits at 6th, 8th, and 17th levels.


Domain
Source


Arcana
Sword Coast Adventurer's Guide


Death
Dungeon Master's Guide


Forge
Xanathar's Guide to Everything


Grave
Xanathar's Guide to Everything


Knowledge
Player's Handbook


Life
Player's Handbook


Light
Player's Handbook


Nature
Player's Handbook


Order
Guildmaster's Guide to Ravnica
Tasha's Cauldron of Everything


Peace
Tasha's Cauldron of Everything


Tempest
Player's Handbook


Trickery
Player's Handbook


Twilight
Tasha's Cauldron of Everything


War
Player's Handbook


The following domains are designed for the Amonkhet setting, but may be used elsewhere with DM permission


Solidarity
Amonkhet


Strength
Amonkhet


Ambition
Amonkhet


Zeal
Amonkhet


The following subclass is unofficial homebrew created by WOTC affiliated DM, Matthew Mercer


Blood
Tal'Dorei Campaign Guide


The following domains are unofficial content developed by Eberron writer Keith Baker and released on the Dungeon Master's Guild


Mind
Exploring Eberron


The following domains are unofficial content developed by WotC designers


Beauty
Twitter


Unearthed Arcana


Fate
Unearthed Arcana 85 - Wonders of the Multiverse


Archived Unearthed Arcana


City
Unearthed Arcana 7 - Modern Magic


Protection
Unearthed Arcana 22 - Cleric


Twilight
Unearthed Arcana 63 - Cleric, Druid, Wizard


Unity
Unearthed Arcana 68 - Subclasses, Part 2


Domain Spells
Each domain has a list of spells-its domain spells that you gain at the cleric levels noted in the domain description. Once you gain a domain spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day.
If you have a domain spell that doesn't appear on the cleric spell list, the spell is nonetheless a cleric spell for you.
Channel Divinity
At 2nd level, you gain the ability to channel divine energy directly from your deity, using that energy to fuel magical effects. You start with two such effects: Turn Undead and an effect determined by your domain. Some domains grant you additional effects as you advance in levels, as noted in the domain description.
When you use your Channel Divinity, you choose which effect to create. You must then finish a short or long rest to use your Channel Divinity again.
Some Channel Divinity effects require saving throws. When you use such an effect from this class, the DC equals your cleric spell save DC.
Beginning at 6th level, you can use your Channel Divinity twice between rests, and beginning at 18th level, you can use it three times between rests. When you finish a short or long rest, you regain your expended uses.
Channel Divinity: Turn Undead
As an action, you present your holy symbol and speak a prayer censuring the undead. Each undead that can see or hear you within 30 feet of you must make a Wisdom saving throw. If the creature fails its saving throw, it is turned for 1 minute or until it takes any damage.
A turned creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If there's nowhere to move, the creature can use the Dodge action.
"
70,6,cleric,2,Divine Domain Feature
71,7,cleric,2,"Harness Divine Power (Optional)
At 2nd level, you can expend a use of your Channel Divinity to fuel your spells. As a bonus action, you touch your holy symbol, utter a prayer, and regain one expended spell slot, the level of which can be no higher than half your proficiency bonus (rounded up). The number of times you can use this feature is based on the level you've reached in this class: 2nd level, once; 6th level, twice; and 18th level, thrice. You regain all expended uses when you finish a long rest.
"
72,8,cleric,4,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
73,9,cleric,4,"Cantrip Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the cleric spell list.
"
74,10,cleric,5,Channel Divinity 2
75,11,cleric,6,Divine Domain Feature
76,12,cleric,6,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
77,13,cleric,8,Destroy Undead (CR 1)
78,14,cleric,8,Divine Domain Feature
79,15,cleric,8,"Cantrip Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the cleric spell list.
"
80,16,cleric,8,"Destroy Undead
Starting at 5th level, when an undead fails its saving throw against your Turn Undead feature, the creature is instantly destroyed if its challenge rating is at or below a certain threshold, as shown in the Cleric table above.
Blessed Strikes (Optional)
Replaces the Divine Strike or Potent Spellcasting feature
When you reach 8th level, you are blessed with divine might in battle. When a creature takes damage from one of your cantrips or weapon attacks, you can also deal 1d8 radiant damage to that creature. Once you deal this damage, you can't use this feature again until the start of your next turn.
"
81,17,cleric,10,"
Beginning at 10th level, you can call on your deity to intervene on your behalf when your need is great.
Imploring your deity's aid requires you to use your action. Describe the assistance you seek, and roll percentile dice. If you roll a number equal to or lower than your cleric level, your deity intervenes. The DM chooses the nature of the intervention; the effect of any cleric spell or cleric domain spell would be appropriate. If your deity intervenes, you can't use this feature again for 7 days. Otherwise, you can use it again after you finish a long rest.
At 20th level, your call for intervention succeeds automatically, no roll required.
"
82,18,cleric,11,Destroy Undead (CR 2)
83,19,cleric,12,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
84,20,cleric,12,"Cantrip Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the cleric spell list.
"
85,21,cleric,14,Destroy Undead (CR 3)
86,22,cleric,16,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
87,23,cleric,16,"Cantrip Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the cleric spell list.
"
88,24,cleric,17,Destroy Undead (CR 4)
89,25,cleric,17,Divine Domain Feature
90,26,cleric,18,Channel Divinity 3
91,27,cleric,19,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
92,28,cleric,19,"Cantrip Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the cleric spell list.
"
93,29,cleric,20,"
At 20th level, your call for intervention succeeds automatically, no roll required.
"
94,0,druid,0,"Hit Points
Hit Dice: 1d8 per druid level
Hit Points at 1st Level: 8 + your Constitution modifier
Hit Points at Higher Levels: 1d8 (or 5) + your Constitution modifier per druid level after 1st
"
95,1,druid,0,"Proficiencies
Armor: Light armor, medium armor, shields (druids will not wear armor or use shields made of metal)
Weapons: Clubs, daggers, darts, javelins, maces, quarterstaffs, scimitars, sickles, slings, spears
Tools: Herbalism kit
Saving Throws: Intelligence, Wisdom
Skills: Choose two from Arcana, Animal Handling, Insight, Medicine, Nature, Perception, Religion, and Survival
"
96,2,druid,0,"Equipment
You start with the following equipment, in addition to the equipment granted by your background:
• (a) a wooden shield or (b) any simple weapon
• (a) a scimitar or (b) any simple melee weapon
• Leather armor, an explorer's pack, and a druidic focus
"
97,3,druid,1,"Druidic
You know Druidic, the secret language of druids. You can speak the language and use it to leave hidden messages. You and others who know this language automatically spot such a message. Others spot the message's presence with a successful DC 15 Wisdom (Perception) check but can't decipher it without magic.
"
98,4,druid,1,"Spellcasting
Drawing on the divine essence of nature itself, you can cast spells to shape that essence to your will.
Cantrips
At 1st level, you know two cantrips of your choice from the druid spell list. You learn additional druid cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Druid table.
Preparing and Casting Spells
The Druid table shows how many spell slots you have to cast your druid spells of 1st level and higher. To cast one of these druid spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest.
You prepare the list of druid spells that are available for you to cast, choosing from the druid spell list. When you do so, choose a number of druid spells equal to your Wisdom modifier + your Druid level (minimum of one spell). The spells must be of a level for which you have spell slots.
For example, if you are a 3rd-level druid, you have four 1st-level and two 2nd-level spell slots. With a Wisdom of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination. If you prepare the 1st-level spell Cure Wounds, you can cast it using a 1st-level or 2nd-level slot. Casting the spell doesn't remove it from your list of prepared spells.
You can also change your list of prepared spells when you finish a long rest. Preparing a new list of druid spells requires time spent in prayer and meditation: at least 1 minute per spell level for each spell on your list.
Spellcasting Ability
Wisdom is your spellcasting ability for your druid spells, since your magic draws upon your devotion and attunement to nature. You use your Wisdom whenever a spell refers to your spellcasting ability. In addition, you use your Wisdom modifier when setting the saving throw DC for a druid spell you cast and when making an attack roll with one.
Spell save DC = 8 + your proficiency bonus + your Wisdom modifier
Spell attack modifier = your proficiency bonus + your Wisdom modifier
Ritual Casting
You can cast a druid spell as a ritual if that spell has the ritual tag and you have the spell prepared.
Spellcasting Focus
You can use a druidic focus as a spellcasting focus for your druid spells.
"
99,5,druid,2,"Wild Shape
Starting at 2nd level, you can use your action to magically assume the shape of a beast that you have seen before. You can use this feature twice. You regain expended uses when you finish a short or long rest.
Your druid level determines the beasts you can transform into, as shown in the Beast Shapes table. At 2nd level, for example, you can transform into any beast that has a challenge rating of 1/4 or lower that doesn't have a flying or swimming speed.


Beast Shapes


Level
Max. CR
Limitations
Example


2nd
1/4
No flying or swimming speed
Wolf


4th
1/2
No flying speed
Crocodile


8th
1

Giant eagle


You can stay in a beast shape for a number of hours equal to half your druid level (rounded down). You then revert to your normal form unless you expend another use of this feature. You can revert to your normal form earlier by using a bonus action on your turn. You automatically revert if you fall unconscious, drop to 0 hit points, or die.
While you are transformed, the following rules apply:

Your game statistics are replaced by the statistics of the beast, but you retain your alignment, personality, and Intelligence, Wisdom, and Charisma scores. You also retain all of your skill and saving throw proficiencies, in addition to gaining those of the creature. If the creature has the same proficiency as you and the bonus in its stat block is higher than yours, use the creature's bonus instead of yours. If the creature has any legendary or lair actions, you can't use them.


When you transform, you assume the beast's hit points and Hit Dice. When you revert to your normal form, you return to the number of hit points you had before you transformed. However, if you revert as a result of dropping to 0 hit points, any excess damage carries over to your normal form, For example, if you take 10 damage in animal form and have only 1 hit point left, you revert and take 9 damage. As long as the excess damage doesn't reduce your normal form to 0 hit points, you aren't knocked unconscious.


You can't cast spells, and your ability to speak or take any action that requires hands is limited to the capabilities of your beast form. Transforming doesn't break your concentration on a spell you've already cast, however, or prevent you from taking actions that are part of a spell, such as Call Lightning, that you've already cast.


You retain the benefit of any features from your class, race, or other source and can use them if the new form is physically capable of doing so. However, you can't use any of your special senses, such as darkvision, unless your new form also has that sense.


You choose whether your equipment falls to the ground in your space, merges into your new form, or is worn by it. Worn equipment functions as normal, but the DM decides whether it is practical for the new form to wear a piece of equipment, based on the creature's shape and size. Your equipment doesn't change size or shape to match the new form, and any equipment that the new form can't wear must either fall to the ground or merge with it. Equipment that merges with the form has no effect until you leave the form.

"
